"","Collection.date","Lineage names","n","freq"
"301",2022-06-08,"BA.5.1",6,4.32
"302",2022-04-20,"BA.2.3",4,4.26
"303",2022-05-19,"BA.5",4,4.26
"304",2022-06-14,"BA.4",2,4.26
"305",2022-06-14,"BA.4.1",2,4.26
"306",2022-04-13,"Other",5,4.24
"307",2022-04-19,"BA.2.7",5,4.24
"308",2022-06-03,"BA.4",3,4.23
"309",2022-04-21,"BA.2.3",3,4.17
"310",2022-05-15,"BA.2.9",4,4.17
"311",2022-06-12,"BA.2.3",2,4.17
"312",2022-06-12,"BA.4",2,4.17
"313",2022-06-27,"BA.4",3,4.11
"314",2022-06-27,"BA.5.2",3,4.11
"315",2022-06-27,"BE.1",3,4.11
"316",2022-05-11,"BA.2.9",5,3.94
"317",2022-05-11,"BA.4",5,3.94
"318",2022-05-17,"BA.2.9",5,3.94
"319",2022-05-20,"BA.4",4,3.92
"320",2022-06-05,"BA.2.9",2,3.92
"321",2022-06-26,"BA.5.1",2,3.92
"322",2022-06-26,"BE.1",2,3.92
"323",2022-05-28,"BA.5.1",3,3.9
"324",2022-04-30,"BA.2.3",5,3.88
"325",2022-05-03,"BA.2.7",6,3.87
"326",2022-04-18,"BA.1.1",5,3.82
"327",2022-05-25,"BA.2.3",3,3.8
"328",2022-06-24,"BA.4.1",3,3.75
"329",2022-06-24,"BA.5.2",3,3.75
"330",2022-06-24,"BE.1",3,3.75
"331",2022-05-07,"BA.2.9",4,3.74
"332",2022-05-27,"BA.4",4,3.74
"333",2022-05-08,"BA.2.9",4,3.7
"334",2022-04-14,"BA.2.7",4,3.6
"335",2022-04-25,"BA.2.3",5,3.6
"336",2022-04-24,"BA.2.3",4,3.57
"337",2022-06-09,"BA.2",4,3.57
"338",2022-06-09,"BA.4",4,3.57
"339",2022-06-09,"BA.5.5",4,3.57
"340",2022-06-19,"BA.4.1",1,3.57
"341",2022-06-19,"BA.5.2",1,3.57
"342",2022-06-19,"BA.5.2.1",1,3.57
"343",2022-05-31,"BA.2.9",6,3.3
"344",2022-05-13,"BA.2.3",5,3.29
"345",2022-05-13,"BA.2.9",5,3.29
"346",2022-05-21,"BA.2.9",3,3.23
"347",2022-05-21,"BA.4",3,3.23
"348",2022-05-21,"BA.5",3,3.23
"349",2022-04-15,"BA.2.10",5,3.21
"350",2022-04-20,"BA.1.1",3,3.19
"351",2022-04-20,"BA.2.10",3,3.19
"352",2022-05-09,"BA.2.7",5,3.16
"353",2022-06-06,"BA.2.18",2,3.12
"354",2022-06-06,"BA.2.40.1",2,3.12
"355",2022-06-06,"BA.4",2,3.12
"356",2022-04-30,"BA.2.26",4,3.1
"357",2022-06-23,"BA.5.1",2,3.08
"358",2022-06-23,"BA.5.2",2,3.08
"359",2022-06-23,"BE.1",2,3.08
"360",2022-06-25,"BA.2.18",2,3.08
"361",2022-06-15,"BA.2.9",2,2.99
"362",2022-06-15,"Other",2,2.99
"363",2022-06-20,"BA.2",2,2.99
"364",2022-06-20,"BA.5.5",2,2.99
"365",2022-06-20,"BE.1",2,2.99
"366",2022-04-22,"BA.1.1",3,2.94
"367",2022-04-22,"BA.2.3",3,2.94
"368",2022-06-16,"BA.2",1,2.94
"369",2022-06-16,"BA.2.3",1,2.94
"370",2022-06-16,"BA.5.2.1",1,2.94
"371",2022-06-16,"BA.5.5",1,2.94
"372",2022-06-16,"Other",1,2.94
"373",2022-06-22,"BA.2.3",2,2.94
"374",2022-06-22,"BA.5",2,2.94
"375",2022-05-01,"BA.2.10",2,2.9
"376",2022-05-01,"BA.2.26",2,2.9
"377",2022-04-25,"BA.2.26",4,2.88
